num,start,end,script
2,00:00:36.453,00:00:37.370,['Stairs.']
4,00:00:40.832,00:00:43.251,"['You', 'guys,', 'just', 'start', 'without', 'me.']"
5,00:00:45.253,00:00:46.463,"[""I'll"", 'catch', 'up!']"
7,00:00:56.014,00:00:57.474,['Sweet.']
8,00:01:16.534,00:01:18.953,"['Inner', 'peace.']"
9,00:01:19.162,00:01:21.623,"['Inner', 'peace.']"
10,00:01:23.958,00:01:25.877,"['Itchy', 'nose.']"
12,00:01:32.342,00:01:35.094,"['Finally,', 'inner', 'peace.']"
13,00:01:36.387,00:01:37.222,"['Now', 'what?']"
14,00:01:49.609,00:01:51.444,"['Kai,', 'old', 'friend.']"
15,00:01:53.780,00:01:55.740,"['Master', 'Oogway.']"
16,00:01:55.907,00:01:58.910,"['Our', 'battle', 'ended', '500', 'years', 'ago!']"
17,00:01:59.494,00:02:01.496,"['Well,', 'now', ""I'm"", 'ready', 'for', 'a', 'rematch.']"
18,00:02:02.038,00:02:03.748,"['Took', 'you', 'long', 'enough!']"
20,00:02:19.848,00:02:21.599,"[""You've"", 'grown', 'stronger.']"
21,00:02:27.355,00:02:32.068,"['500', 'years', 'in', 'the', 'Spirit', 'Realm,', 'you', 'pick', 'up', 'a', 'thing', 'or', 'two.']"
22,00:02:32.318,00:02:35.947,"['I', 'have', 'taken', 'the', 'chi', 'of', 'every', 'master', 'here.']"
23,00:02:36.906,00:02:38.116,"['-No!', '-Yes.']"
24,00:02:38.783,00:02:41.411,"['And', 'soon', 'I', 'will', 'have', 'your', 'power,', 'too.']"
25,00:02:41.619,00:02:45.874,"['When', 'will', 'you', 'realize?', 'The', 'more', 'you', 'take,', 'the', 'less', 'you', 'have.']"
26,00:03:06.895,00:03:08.104,"['With', 'your', 'chi,']"
27,00:03:08.187,00:03:11.858,"['I', 'will', 'finally', 'be', 'able', 'to', 'return', 'to', 'the', 'mortal', 'world.']"
28,00:03:12.108,00:03:15.653,"['And', 'this', 'time,', 'you', ""won't"", 'be', 'there', 'to', 'stop', 'me.']"
30,00:03:17.113,00:03:19.908,"['It', 'was', 'never', 'my', 'destiny', 'to', 'stop', 'you.']"
31,00:03:20.116,00:03:22.744,"['I', 'have', 'set', 'another', 'on', 'that', 'path.']"
32,00:03:28.541,00:03:29.959,"['Then', 'I', 'will', 'find', 'him...']"
33,00:03:30.585,00:03:32.795,"['and', 'take', 'his', 'chi,', 'too.']"
34,00:03:51.314,00:03:54.150,"['Justice', 'is', 'about', 'to', 'be', 'served!']"
37,00:04:15.463,00:04:17.131,['Yee-haw!']
39,00:04:49.622,00:04:51.124,"[""We'll"", 'have', 'two', 'Justice', 'Platters,', 'please.']"
40,00:04:51.207,00:04:52.083,"['-Um,', 'three.', '-Three.']"
41,00:04:52.166,00:04:53.251,"['And', 'a', 'few', 'tofu', 'buns.']"
42,00:04:53.501,00:04:55.920,"['Oh,', 'the', 'spicy', 'noodle', 'soup', 'for', 'Tigress.', 'Did', 'you', 'want', 'extra', 'sauce', 'with', 'that?']"
43,00:04:56.004,00:04:57.005,"['She', 'wants', 'it', 'on', 'the', 'side.']"
44,00:04:57.088,00:04:58.464,"['-On', 'the', 'side.', '-On', 'the', 'side.']"
46,00:05:00.174,00:05:01.592,"['Go,', 'Dragon', 'Warrior!', 'You', 'can', 'do', 'it!']"
47,00:05:01.676,00:05:02.635,"['Go,', 'Dragon', 'Warrior!']"
48,00:05:02.719,00:05:04.012,"['Defend', 'the', 'Valley!']"
49,00:05:04.095,00:05:05.471,"['Dragon', 'Warrior!']"
50,00:05:08.308,00:05:09.684,"['Go,', 'Dragon', 'Warrior!']"
51,00:05:09.767,00:05:11.394,"['Yeah!', 'Defend', 'the', 'Valley!']"
52,00:05:13.855,00:05:15.189,['Yee-haw!']
53,00:05:16.357,00:05:18.234,"['You', 'guys', ""aren't"", 'doing', 'the', 'Dramatic', 'Pose,', 'are', 'you?']"
54,00:05:18.443,00:05:20.528,"['Do', 'we', 'have', 'to', 'strike', 'a', 'pose', 'every', 'time', 'we', 'land?']"
55,00:05:21.112,00:05:24.324,"['You', 'guys,', 'never', 'underestimate', 'the', 'power', 'of', 'a', 'dramatic', 'entrance.']"
56,00:05:24.449,00:05:27.493,"[""I've"", 'heard', 'about', 'some', 'masters', 'who', 'can', 'win', 'a', 'fight', 'just', 'by', 'throwing', 'open', 'a', 'door.']"
57,00:05:29.454,00:05:30.455,['Oh!']
58,00:05:30.538,00:05:31.664,"['Dramatic', 'entrance?']"
59,00:05:32.206,00:05:33.082,"['Master', 'Shifu.']"
60,00:05:33.166,00:05:35.084,"['The', 'Dragon', 'Warrior', 'is', 'correct.']"
61,00:05:35.168,00:05:36.836,"['Really?', 'I', 'was', 'just', 'making,', 'uh...']"
62,00:05:36.919,00:05:38.838,"['Yeah.', 'I', 'mean,', 'yeah.', 'I', 'am.']"
63,00:05:38.921,00:05:41.799,"['Before', 'the', 'battle', 'of', 'the', 'fist', 'comes', 'the', 'battle', 'of', 'the', 'mind.']"
64,00:05:42.175,00:05:44.385,"['Hence,', 'the', 'dramatic', 'entrance.']"
65,00:05:55.855,00:05:56.981,['Whoa!']
66,00:05:57.065,00:06:00.151,"['Nice', 'dramatic', 'entrance.', ""What's"", 'the', 'occasion?']"
67,00:06:00.234,00:06:02.904,"['Today', 'will', 'be', 'my', 'final', 'class.']"
68,00:06:03.279,00:06:04.572,"['Your', 'final...', 'Wait.']"
69,00:06:04.655,00:06:07.575,"['I', ""didn't"", 'even', 'know', 'you', 'were', 'sick!', 'Although', 'you', 'have', 'been', 'looking', 'a', 'little...']"
70,00:06:07.658,00:06:08.826,"[""-I'm"", 'not', 'sick.', '-Healthy.']"
71,00:06:08.910,00:06:10.411,"['A', 'little', 'healthy.', 'A', 'lot,', 'actually.']"
73,00:06:11.662,00:06:16.209,"['My', 'final', 'class,', 'because', 'from', 'now', 'on', 'your', 'training', 'will', 'be', 'in', 'the', 'hands']"
74,00:06:16.584,00:06:18.419,"['of', 'the', 'Dragon', 'Warrior.']"
75,00:06:20.838,00:06:21.923,['What?']
76,00:06:24.217,00:06:25.968,"['Me,', 'teach?', 'I', 'mean,', 'why', 'not', 'Tigress?']"
77,00:06:26.052,00:06:27.386,"[""She's"", 'always', 'telling', 'everyone', 'what', 'to', 'do.']"
78,00:06:27.470,00:06:29.472,"['-Be', 'quiet,', 'Po.', '-You', 'see', 'what', 'I', 'mean?']"
79,00:06:29.764,00:06:32.642,"['Tigress', 'is', 'not', 'the', 'Dragon', 'Warrior.', 'You', 'are.']"
80,00:06:32.975,00:06:34.477,"['Come', 'on,', ""they're"", 'the', 'Five.']"
81,00:06:34.560,00:06:36.145,"['What', 'could', 'I', 'teach', 'them?']"
82,00:06:36.229,00:06:39.982,"['There', 'is', 'always', 'something', 'more', 'to', 'learn,', 'even', 'for', 'a', 'master.']"
83,00:06:40.650,00:06:43.319,"['For', 'instance,', 'let', 'me', 'show', 'you', 'another', 'move...']"
84,00:06:44.112,00:06:45.780,"['the', 'Dramatic', 'Exit.']"
85,00:06:46.697,00:06:47.990,"[""What's"", 'that?']"
86,00:06:49.867,00:06:52.411,"['Wow!', 'Are', 'you', 'kidding', 'me?']"
87,00:06:52.787,00:06:54.956,"[""That's..."", ""Where'd"", 'he', 'go?']"
88,00:06:55.581,00:06:56.916,['Master.']
90,00:07:00.086,00:07:01.963,"['We', 'await', 'your', 'instruction,', 'Master.']"
91,00:07:02.421,00:07:05.174,"['All', 'you', 'have', 'to', 'lose', 'is', 'our', 'respect.']"
92,00:07:08.845,00:07:10.930,"['I', 'mean,', 'seriously,', 'how', 'bad', 'can', 'it', 'be?']"
93,00:07:11.347,00:07:13.307,"['Very', 'bad!', 'Very,', 'very', 'bad!']"
94,00:07:13.641,00:07:15.476,"['Okay,', 'okay.', ""Let's"", 'switch', 'it', 'up.']"
95,00:07:15.560,00:07:17.311,"['Monkey!', 'Immovable', 'Mountain', 'Stance!']"
96,00:07:17.437,00:07:18.938,"['Yes,', 'Master!']"
97,00:07:19.939,00:07:22.066,"['I', 'mean,', 'ah...', 'Tigress,', 'Tornado', 'Back', 'Flip!']"
98,00:07:22.275,00:07:23.276,"['Yes,', 'Master.']"
100,00:07:24.986,00:07:26.362,"['Oh,', 'no!', 'Fire!']"
101,00:07:26.446,00:07:27.655,"['Fire!', 'Stop!']"
102,00:07:28.197,00:07:29.323,"['Sorry!', 'My', 'fault.']"
103,00:07:29.449,00:07:31.033,"['Crane,', 'go', 'high.', 'I', 'mean', 'low!', 'Low!']"
104,00:07:32.994,00:07:34.203,"['Oh,', 'my', 'claw', 'thingy!']"
105,00:07:34.912,00:07:39.000,"['Viper', 'and', 'Tigress,', 'do,', 'like,', 'a', 'Totem', 'Pole', 'Poison', 'Technique!']"
106,00:07:39.333,00:07:42.086,"['Uh,', 'you', 'two,', 'do', 'a', 'Swarming', 'Insect', 'Bite']"
107,00:07:42.170,00:07:45.840,"['with', 'a', 'Yellow', 'Tail,', 'Yellow', 'Jacket,', 'Spicy', 'Tuna...']"
108,00:07:46.215,00:07:47.216,"[""I'm"", 'sorry.']"
110,00:07:52.597,00:07:54.640,"['Good', 'job,', 'Po.']"
111,00:07:56.142,00:07:57.351,['Ah.']
112,00:07:57.768,00:07:59.562,"['Did', 'you', 'at', 'least', 'learn', 'a', 'little', 'something?']"
113,00:08:00.104,00:08:01.314,['Yes.']
114,00:08:01.397,00:08:02.815,"['That', 'you', ""can't"", 'teach.']"
115,00:08:03.149,00:08:05.776,"['And', 'Tigress', 'is', 'flammable,', 'it', 'turns', 'out.']"
119,00:08:17.288,00:08:18.331,"['What', 'a', 'loser!']"
123,00:08:24.837,00:08:26.547,"['I', 'think', 'he', 'heard', 'us.']"
124,00:08:27.131,00:08:28.841,"['I', ""didn't"", 'hear', 'anything.']"
125,00:08:29.133,00:08:30.801,"['Uh,', 'he', 'said', ""you're"", 'a', 'loser.']"
126,00:08:43.272,00:08:44.857,"[""I'm"", 'sorry,', 'Oogway.']"
128,00:08:47.527,00:08:48.903,"['Would', 'you', 'stop', 'doing', 'that?']"
129,00:08:49.070,00:08:50.321,"['How', 'was', 'your', 'first', 'day', 'teaching?']"
130,00:08:50.780,00:08:52.782,"['-Humiliating.', '-I', 'heard.']"
131,00:08:53.074,00:08:54.742,"['Who', 'told', 'you?', 'Did', 'Tigress', 'tell', 'you?']"
132,00:08:54.825,00:08:57.203,"['I', 'heard', 'from', 'Monkey,', 'and', 'Crane,', 'and', 'Mantis,']"
133,00:08:57.286,00:08:59.747,"['and', 'your', 'dad,', 'and', 'Mrs.', 'Chow', 'from', 'the', 'gift', 'shop,']"
134,00:08:59.830,00:09:01.290,"['and', 'those', 'ducks', 'you', 'just', 'passed,']"
135,00:09:01.374,00:09:03.334,"['and', 'Tigress', 'told', 'me.']"
136,00:09:03.584,00:09:06.712,"['Did', 'she', 'also', 'tell', 'you', 'that', ""it'll"", 'never', 'happen', 'again?', 'Because', ""I'm"", 'done.']"
137,00:09:06.796,00:09:08.673,"['Teaching', 'or', 'being', 'humiliated?']"
138,00:09:09.006,00:09:11.551,"['Both!', 'I', ""don't"", 'know', 'why', 'you', 'ever', 'thought', 'I', 'could', 'teach', 'that', 'class.']"
139,00:09:12.009,00:09:13.094,"['Oh,', 'I', 'knew', 'you', ""couldn't.""]"
140,00:09:13.719,00:09:16.430,"['What?', 'You', 'set', 'me', 'up', 'to', 'fail?', 'Why?']"
141,00:09:16.764,00:09:18.641,"['If', 'you', 'only', 'do', 'what', 'you', 'can', 'do,']"
142,00:09:18.724,00:09:21.769,"['you', 'will', 'never', 'be', 'more', 'than', 'you', 'are', 'now.']"
143,00:09:22.061,00:09:24.647,"['I', ""don't"", 'wanna', 'be', 'more!', 'I', 'like', 'who', 'I', 'am.']"
144,00:09:24.730,00:09:27.441,"['You', ""don't"", 'even', 'know', 'who', 'you', 'are.']"
145,00:09:27.525,00:09:28.818,"['What', 'do', 'you...', 'Of', 'course,', 'I', 'do.']"
146,00:09:28.901,00:09:30.444,"[""I'm"", 'the', 'Dragon', 'Warrior.']"
147,00:09:30.903,00:09:33.573,"['And', 'what', 'exactly', 'does', 'that', 'mean,', 'Dragon', 'Warrior?']"
148,00:09:35.825,00:09:36.826,['Hmm.']
149,00:09:37.034,00:09:41.747,"['It', 'means,', 'you', 'know,', 'just', 'going', 'around', 'and', 'punching', 'and', 'kicking.']"
150,00:09:41.831,00:09:44.250,"['Defending', 'the', 'Valley!', 'And', 'stuff.']"
151,00:09:44.709,00:09:46.002,"['Punching', 'and', 'kicking?']"
152,00:09:46.335,00:09:49.797,"['You', 'think', 'that', 'is', 'what', 'the', 'great', 'Master', 'Oogway', 'saw', 'for', 'you?']"
153,00:09:50.673,00:09:53.384,"['A', '500-year', 'prophecy', 'fulfilled']"
154,00:09:53.467,00:09:56.304,"['so', 'you', 'could', 'spend', 'your', 'days', 'kicking', 'butt']"
155,00:09:56.387,00:09:58.598,"['and', 'running', 'through', 'town', 'high-fiving', 'bunnies?']"
156,00:09:59.599,00:10:01.142,"['-Yes?', '-No!']"
158,00:10:02.226,00:10:04.645,"['Oogway', 'saw', 'greatness', 'in', 'you,', 'Po.']"
159,00:10:04.812,00:10:06.355,"['Against', 'my', 'better', 'judgment.']"
160,00:10:06.981,00:10:09.859,"['More', 'than', 'you', 'can', 'see', 'in', 'yourself.']"
161,00:10:09.984,00:10:12.612,"['Incredible', 'power', 'awaits', 'you.']"
162,00:10:14.030,00:10:17.450,"['Power', 'beyond', 'anything', 'you', 'can', 'imagine.']"
163,00:10:33.549,00:10:35.551,"['Wow!', 'What', 'was', 'that?']"
164,00:10:35.760,00:10:36.969,"['That', 'was', 'chi.']"
165,00:10:37.261,00:10:38.262,['Wow!']
166,00:10:38.929,00:10:40.181,"[""What's"", 'chi?']"
167,00:10:40.264,00:10:44.685,"['The', 'energy', 'that', 'flows', 'through', 'all', 'living', 'things.']"
168,00:10:44.852,00:10:48.439,"['So', ""you're"", 'saying', 'if', 'I', 'teach,', ""I'll"", 'be', 'able', 'to', 'do', 'cool', 'stuff', 'like', 'that?']"
169,00:10:48.522,00:10:52.610,"['No.', ""I'm"", 'saying', 'if', 'you', 'teach,', ""I'll"", 'be', 'able', 'to', 'do', 'cool', 'stuff', 'like', 'that.']"
170,00:10:52.735,00:10:53.611,['Oh...']
171,00:10:53.694,00:10:57.156,"['Mastering', 'chi', 'requires', 'mastery', 'of', 'self.']"
172,00:10:57.573,00:11:02.953,"['Oogway', 'sat', 'alone', 'in', 'a', 'cave', 'for', '30', 'years', 'asking', 'one', 'question.']"
173,00:11:03.454,00:11:04.789,"['""Who', 'am', 'I?""']"
174,00:11:05.456,00:11:06.832,"['""Who', 'am', 'I?""']"
175,00:11:07.083,00:11:09.710,"[""I'm"", 'lucky', 'if', 'I', 'get', 'five', 'minutes', 'before', 'you', 'interrupt...']"
177,00:11:13.005,00:11:15.674,"['Eventually.', 'After', 'you', 'master', 'teaching.']"
178,00:11:15.883,00:11:18.928,"['Teaching?', ""There's"", 'no', 'way', ""I'm"", 'ever', 'gonna', 'be', 'like', 'you.']"
179,00:11:19.136,00:11:21.055,"[""I'm"", 'not', 'trying', 'to', 'turn', 'you', 'into', 'me.']"
180,00:11:21.389,00:11:25.101,"[""I'm"", 'trying', 'to', 'turn', 'you', 'into', 'you.']"
181,00:11:28.104,00:11:30.398,"['Turn', 'me', 'into', 'me?']"
182,00:11:30.481,00:11:31.816,"['Wait', 'a', 'second,', 'that', 'makes', 'no...']"
183,00:11:31.899,00:11:32.983,"['Almost', 'there,', 'Shifu.']"
184,00:11:33.067,00:11:35.486,"['Just', 'a', 'little', 'more', 'confusing', 'and', ""you'll"", 'be', 'the', 'next', 'Oogway.']"
185,00:11:37.029,00:11:38.072,"['Oh,', 'ah...']"
186,00:11:38.489,00:11:40.908,"['Sorry,', 'no', 'offense,', 'Master', 'Oogway.', 'I', 'just...']"
187,00:11:42.368,00:11:43.786,"[""I'll"", 'let', 'you', 'get', 'back', 'to', 'your', 'eternal', 'peace.']"
190,00:12:25.286,00:12:26.704,"['What', 'is', 'this', 'place?']"
191,00:12:27.246,00:12:29.290,"['Uh...', 'My', ""brother's"", 'farm?']"
192,00:12:29.582,00:12:30.624,['Ah.']
193,00:12:31.041,00:12:34.086,"['If', 'I', 'stepped', 'on', 'you,', 'would', 'you', 'die?']"
195,00:12:37.923,00:12:39.675,"['The', 'mortal', 'realm.']"
196,00:12:40.634,00:12:43.846,"['You', 'hear', 'that,', 'Oogway?', ""I'm"", 'back.']"
197,00:12:44.638,00:12:47.183,"['Kai', 'has', 'returned!']"
199,00:12:50.227,00:12:52.396,"['Kai.', 'General', 'Kai.']"
200,00:12:52.480,00:12:54.982,"['Supreme', 'Warlord', 'of', 'all', 'China.']"
201,00:12:55.941,00:12:56.901,"['-Eh?', '-Hmm...']"
202,00:12:57.151,00:13:00.988,"['The', 'Jade', 'Slayer.', 'Master', 'of', 'Pain.']"
203,00:13:01.155,00:13:03.240,"['You', 'may', 'know', 'me', 'as', 'the', 'Beast', 'of', 'Vengeance.']"
204,00:13:03.449,00:13:05.784,"['Uh,', 'Maker', 'of', 'Widows?']"
205,00:13:06.160,00:13:07.036,['Eh?']
206,00:13:08.370,00:13:10.080,"['Okay,', 'I', 'used', 'to', 'work', 'with', 'Oogway.']"
207,00:13:10.372,00:13:11.540,"['-Oh,', 'Master', 'Oogway!', '-Master', 'Oogway!']"
208,00:13:11.624,00:13:12.917,"['Now,', 'he', 'was', 'a', 'great', 'warrior.']"
209,00:13:13.000,00:13:14.251,"[""We've"", 'heard', 'of', 'Master', 'Oogway.']"
210,00:13:14.335,00:13:16.253,"['Okay,', 'okay,', 'enough.', 'Silence!']"
212,00:13:24.428,00:13:27.139,"['Find', ""Oogway's"", 'students,', 'and', 'bring', 'them', 'to', 'me.']"
213,00:13:34.063,00:13:36.982,"['By', 'the', 'time', 'I', 'am', 'done', 'with', 'them,', 'Oogway,']"
214,00:13:37.399,00:13:41.654,"['there', 'will', 'be', 'no', 'one', 'left', 'who', 'will', 'even', 'remember', 'your', 'name.']"
216,00:13:48.786,00:13:50.162,"['I', 'am', 'ready...']"
218,00:13:51.288,00:13:52.831,"['to', 'teach', 'you', 'a', 'lesson.']"
219,00:13:52.915,00:13:55.167,"['Teach', 'me?', 'Oh,', 'no!', ""It's"", 'the', 'Dragon', 'Teacher!']"
220,00:13:55.376,00:13:56.835,"['Yeah,', ""he's"", 'so', 'handsome!']"
221,00:13:56.919,00:13:58.128,"['Thank', 'you', 'for', 'the', 'compliment.']"
223,00:14:01.173,00:14:02.925,"['Ah!', 'No!', 'Please', ""don't"", 'teach', 'me', 'to', 'death!']"
225,00:14:04.385,00:14:05.427,['Po?']
226,00:14:05.511,00:14:07.096,"['Hey,', 'Dad.', ""What's"", 'up?']"
227,00:14:08.305,00:14:11.725,"['I', 'was', 'just,', 'uh,', 'stopping', 'by', 'for', 'a', 'little', 'soak.']"
228,00:14:16.146,00:14:18.274,"['-Okay.', ""What's"", 'wrong?', '-Nothing.']"
229,00:14:18.357,00:14:21.861,"['Nothing?', 'I', 'come', 'home', 'to', 'find', 'you', 'taking', 'a', 'bath', 'with', 'your', 'dolls...']"
230,00:14:21.944,00:14:22.945,"['Action', 'figures.']"
231,00:14:23.028,00:14:25.030,"['...and', 'instead', 'of', 'adding', 'bath', 'salts', 'to', 'the', 'water,']"
232,00:14:25.114,00:14:27.116,"['you', 'just', 'added', 'Szechuan', 'peppercorns.']"
233,00:14:27.199,00:14:28.325,['Szechuan...']
234,00:14:28.993,00:14:29.952,"['Oh,', 'oh,', 'oh!']"
235,00:14:30.035,00:14:31.287,"['My', 'tenders!']"
236,00:14:33.873,00:14:35.416,"['Okay,', 'yes,', ""something's"", 'wrong.']"
237,00:14:35.499,00:14:36.542,"['There,', 'there,', 'son.']"
238,00:14:36.625,00:14:38.294,"['You', 'tell', 'your', 'daddy', 'all', 'about', 'it.']"
239,00:14:38.460,00:14:39.837,"['Lift', 'your', 'arm.']"
240,00:14:39.920,00:14:42.798,"['Shifu', 'says', 'I', ""don't"", 'know', 'what', 'it', 'means', 'to', 'be', 'the', 'Dragon', 'Warrior.']"
241,00:14:43.173,00:14:44.925,"['Now', 'I', 'have', 'to', 'be', 'a', 'teacher?']"
242,00:14:45.676,00:14:49.138,"['I', 'thought', 'I', 'finally', 'knew', 'who', 'I', 'was.', 'If', ""I'm"", 'not', 'the', 'Dragon', 'Warrior,', 'who', 'am', 'I?']"
243,00:14:49.430,00:14:51.515,"['A', 'teacher?', 'Teaching', 'kung', 'fu?']"
245,00:14:54.351,00:14:55.519,"['Take', 'the', 'job,', 'son!']"
246,00:14:55.603,00:14:58.105,"['And,', 'someday', 'when', ""you're"", 'in', 'charge', 'of', 'the', 'whole', 'Jade', 'Palace']"
247,00:14:58.230,00:15:01.233,"['I', 'can', 'sell', 'noodles', 'in', 'the', 'lobby!']"
248,00:15:01.775,00:15:03.652,"['Why', 'are', 'you', 'still', 'here', 'taking', 'a', 'bath', 'like', 'a', 'baby?']"
249,00:15:03.736,00:15:05.946,"['Get', 'out!', 'Get', 'up!', 'Go,', 'go,', 'go!']"
250,00:15:06.030,00:15:08.032,"['Franchise', 'expansion', 'awaits', 'us!']"
251,00:15:08.115,00:15:10.242,"['But', 'what', 'about', 'the', 'Dragon', 'Warrior', 'look-alike', 'contest?']"
252,00:15:10.326,00:15:12.036,"['Oh,', 'Mrs.', 'Chow', 'always', 'wins', 'that.']"
253,00:15:12.578,00:15:13.662,['Skadoosh.']
254,00:15:14.079,00:15:16.081,"['And', 'the', 'Dragon', 'Warrior', 'dumpling-eating', 'contest?']"
255,00:15:16.415,00:15:17.708,"['I', 'have', 'to', 'defend', 'my', 'title.']"
256,00:15:17.791,00:15:20.294,"['No', ""one's"", 'gonna', 'beat', 'your', 'dumpling-eating', 'record.']"
257,00:15:20.711,00:15:22.379,"[""Someone's"", 'about', 'to', 'beat', 'your', 'dumpling-eating', 'record!']"
259,00:15:25.466,00:15:26.842,"[""Who's"", 'eating', 'my', 'dumplings?']"
260,00:15:27.051,00:15:28.469,"['And', ""who's"", 'paying', 'for', 'them?']"
261,00:15:29.261,00:15:31.931,"['101!', '102!']"
263,00:15:38.145,00:15:40.981,['103!']
266,00:15:50.658,00:15:52.284,"['Who', 'are', 'you?']"
267,00:15:52.368,00:15:54.036,"['I', 'am', 'Li', 'Shan.']"
268,00:15:54.286,00:15:55.120,['What?']
269,00:15:57.915,00:15:59.541,"[""I'm"", 'Li', 'Shan.']"
270,00:16:00.167,00:16:01.794,"[""I'm"", 'looking', 'for', 'my', 'son.']"
273,00:16:06.131,00:16:07.424,"['You', 'lost', 'your', 'son?']"
